M�s/Ano,UF,Município,Zona,Quantidade,%,
Dezembro - 2022,RJ,ANGRA DOS REIS,116,61170,0,478
Dezembro - 2022,RJ,ANGRA DOS REIS,147,71396,0,558
Dezembro - 2022,RJ,APERIB�,34,9681,0,76
Dezembro - 2022,RJ,ARARUAMA,92,102699,0,802
Dezembro - 2022,RJ,AREAL,174,9796,0,77
Dezembro - 2022,RJ,ARMA��O DOS B�ZIOS,172,32950,0,257
Dezembro - 2022,RJ,ARRAIAL DO CABO,146,33170,0,259
Dezembro - 2022,RJ,BARRA DO PIRA�,93,70328,0,549
Dezembro - 2022,RJ,BARRA MANSA,91,88284,0,690
Dezembro - 2022,RJ,BARRA MANSA,94,46786,0,365
Dezembro - 2022,RJ,BELFORD ROXO,152,95397,0,745
Dezembro - 2022,RJ,BELFORD ROXO,153,79287,0,619
Dezembro - 2022,RJ,BELFORD ROXO,154,80520,0,629
Dezembro - 2022,RJ,BELFORD ROXO,155,83286,0,651
Dezembro - 2022,RJ,BOM JARDIM,42,22372,0,175
Dezembro - 2022,RJ,BOM JESUS DO ITABAPOANA,95,30327,0,237
Dezembro - 2022,RJ,CABO FRIO,96,74238,0,580
Dezembro - 2022,RJ,CABO FRIO,256,87730,0,685
Dezembro - 2022,RJ,CACHOEIRAS DE MACACU,49,45595,0,356
Dezembro - 2022,RJ,CAMBUCI,97,12289,0,96
Dezembro - 2022,RJ,CAMPOS DOS GOYTACAZES,75,113660,0,888
Dezembro - 2022,RJ,CAMPOS DOS GOYTACAZES,76,98686,0,771
Dezembro - 2022,RJ,CAMPOS DOS GOYTACAZES,98,93361,0,729
Dezembro - 2022,RJ,CAMPOS DOS GOYTACAZES,129,63188,0,494
Dezembro - 2022,RJ,CANTAGALO,101,15944,0,125
Dezembro - 2022,RJ,CARAPEBUS,255,12823,0,100
Dezembro - 2022,RJ,CARDOSO MOREIRA,141,12058,0,94
Dezembro - 2022,RJ,CARMO,102,14671,0,115
Dezembro - 2022,RJ,CASIMIRO DE ABREU,50,33883,0,265
Dezembro - 2022,RJ,COMENDADOR LEVY GASPARIAN,40,8066,0,63
Dezembro - 2022,RJ,CONCEI��O DE MACABU,51,17780,0,139
Dezembro - 2022,RJ,CORDEIRO,52,17171,0,134
Dezembro - 2022,RJ,DUAS BARRAS,42,9953,0,78
Dezembro - 2022,RJ,DUQUE DE CAXIAS,78,111758,0,873
Dezembro - 2022,RJ,DUQUE DE CAXIAS,79,102370,0,800
Dezembro - 2022,RJ,DUQUE DE CAXIAS,103,90933,0,710
Dezembro - 2022,RJ,DUQUE DE CAXIAS,126,113803,0,889
Dezembro - 2022,RJ,DUQUE DE CAXIAS,127,101105,0,790
Dezembro - 2022,RJ,DUQUE DE CAXIAS,128,67639,0,528
Dezembro - 2022,RJ,DUQUE DE CAXIAS,200,82947,0,648
Dezembro - 2022,RJ,ENGENHEIRO PAULO DE FRONTIN,74,11049,0,86
Dezembro - 2022,RJ,GUAPIMIRIM,149,42151,0,329
Dezembro - 2022,RJ,IGUABA GRANDE,181,27007,0,211
Dezembro - 2022,RJ,ITABORA�,104,95586,0,747
Dezembro - 2022,RJ,ITABORA�,151,80334,0,628
Dezembro - 2022,RJ,ITAGUA�,105,94648,0,739
Dezembro - 2022,RJ,ITALVA,141,11667,0,91
Dezembro - 2022,RJ,ITAOCARA,106,20134,0,157
Dezembro - 2022,RJ,ITAPERUNA,107,75500,0,590
Dezembro - 2022,RJ,ITATIAIA,198,25865,0,202
Dezembro - 2022,RJ,JAPERI,139,75206,0,588
Dezembro - 2022,RJ,LAJE DO MURIA�,112,7336,0,57
Dezembro - 2022,RJ,MACA�,109,91279,0,713
Dezembro - 2022,RJ,MACA�,254,81570,0,637
Dezembro - 2022,RJ,MACUCO,52,7122,0,56
Dezembro - 2022,RJ,MAG�,110,96128,0,751
Dezembro - 2022,RJ,MAG�,148,100941,0,789
Dezembro - 2022,RJ,MANGARATIBA,54,39403,0,308
Dezembro - 2022,RJ,MARIC�,55,143719,1,123
Dezembro - 2022,RJ,MENDES,56,15689,0,123
Dezembro - 2022,RJ,MESQUITA,83,63911,0,499
Dezembro - 2022,RJ,MESQUITA,150,72000,0,562
Dezembro - 2022,RJ,MIGUEL PEREIRA,48,23997,0,187
Dezembro - 2022,RJ,MIRACEMA,112,22680,0,177
Dezembro - 2022,RJ,NATIVIDADE,43,12830,0,100
Dezembro - 2022,RJ,NIL�POLIS,201,71544,0,559
Dezembro - 2022,RJ,NIL�POLIS,221,59222,0,463
Dezembro - 2022,RJ,NITER�I,71,109103,0,852
Dezembro - 2022,RJ,NITER�I,72,118067,0,922
Dezembro - 2022,RJ,NITER�I,144,102166,0,798
Dezembro - 2022,RJ,NITER�I,199,75241,0,588
Dezembro - 2022,RJ,NOVA FRIBURGO,26,64306,0,502
Dezembro - 2022,RJ,NOVA FRIBURGO,222,90126,0,704
Dezembro - 2022,RJ,NOVA IGUA�U,27,83114,0,649
Dezembro - 2022,RJ,NOVA IGUA�U,84,134211,1,48
Dezembro - 2022,RJ,NOVA IGUA�U,156,120909,0,945
Dezembro - 2022,RJ,NOVA IGUA�U,157,95404,0,745
Dezembro - 2022,RJ,NOVA IGUA�U,158,99447,0,777
Dezembro - 2022,RJ,NOVA IGUA�U,159,77619,0,606
Dezembro - 2022,RJ,PARACAMBI,70,33820,0,264
Dezembro - 2022,RJ,PARA�BA DO SUL,28,34357,0,268
Dezembro - 2022,RJ,PARATY,57,32821,0,256
Dezembro - 2022,RJ,PATY DO ALFERES,48,23288,0,182
Dezembro - 2022,RJ,PETR�POLIS,29,138962,1,86
Dezembro - 2022,RJ,PETR�POLIS,65,104126,0,813
Dezembro - 2022,RJ,PINHEIRAL,30,18043,0,141
Dezembro - 2022,RJ,PIRA�,30,22941,0,179
Dezembro - 2022,RJ,PORCI�NCULA,45,14418,0,113
Dezembro - 2022,RJ,PORTO REAL,183,17677,0,138
Dezembro - 2022,RJ,QUATIS,183,10836,0,85
Dezembro - 2022,RJ,QUEIMADOS,138,94757,0,740
Dezembro - 2022,RJ,QUISSAM�,255,19126,0,149
Dezembro - 2022,RJ,RESENDE,31,63627,0,497
Dezembro - 2022,RJ,RESENDE,198,33278,0,260
Dezembro - 2022,RJ,RIO BONITO,32,45248,0,353
Dezembro - 2022,RJ,RIO CLARO,108,15666,0,122
Dezembro - 2022,RJ,RIO DAS FLORES,111,8580,0,67
Dezembro - 2022,RJ,RIO DAS OSTRAS,184,92835,0,725
Dezembro - 2022,RJ,RIO DE JANEIRO,4,121229,0,947
Dezembro - 2022,RJ,RIO DE JANEIRO,5,122623,0,958
Dezembro - 2022,RJ,RIO DE JANEIRO,7,110551,0,864
Dezembro - 2022,RJ,RIO DE JANEIRO,8,88130,0,688
Dezembro - 2022,RJ,RIO DE JANEIRO,9,146008,1,141
Dezembro - 2022,RJ,RIO DE JANEIRO,10,87121,0,681
Dezembro - 2022,RJ,RIO DE JANEIRO,14,90447,0,707
Dezembro - 2022,RJ,RIO DE JANEIRO,16,122767,0,959
Dezembro - 2022,RJ,RIO DE JANEIRO,17,114757,0,896
Dezembro - 2022,RJ,RIO DE JANEIRO,21,92438,0,722
Dezembro - 2022,RJ,RIO DE JANEIRO,22,117095,0,915
Dezembro - 2022,RJ,RIO DE JANEIRO,23,84752,0,662
Dezembro - 2022,RJ,RIO DE JANEIRO,24,103147,0,806
Dezembro - 2022,RJ,RIO DE JANEIRO,25,92245,0,721
Dezembro - 2022,RJ,RIO DE JANEIRO,118,65467,0,511
Dezembro - 2022,RJ,RIO DE JANEIRO,119,148555,1,161
Dezembro - 2022,RJ,RIO DE JANEIRO,120,80806,0,631
Dezembro - 2022,RJ,RIO DE JANEIRO,122,85702,0,670
Dezembro - 2022,RJ,RIO DE JANEIRO,123,92313,0,721
Dezembro - 2022,RJ,RIO DE JANEIRO,125,103997,0,812
Dezembro - 2022,RJ,RIO DE JANEIRO,161,91794,0,717
Dezembro - 2022,RJ,RIO DE JANEIRO,162,124501,0,973
Dezembro - 2022,RJ,RIO DE JANEIRO,167,72502,0,566
Dezembro - 2022,RJ,RIO DE JANEIRO,169,89419,0,699
Dezembro - 2022,RJ,RIO DE JANEIRO,170,134779,1,53
Dezembro - 2022,RJ,RIO DE JANEIRO,176,94313,0,737
Dezembro - 2022,RJ,RIO DE JANEIRO,179,140924,1,101
Dezembro - 2022,RJ,RIO DE JANEIRO,180,91865,0,718
Dezembro - 2022,RJ,RIO DE JANEIRO,182,103339,0,807
Dezembro - 2022,RJ,RIO DE JANEIRO,185,109847,0,858
Dezembro - 2022,RJ,RIO DE JANEIRO,188,135877,1,61
Dezembro - 2022,RJ,RIO DE JANEIRO,191,104433,0,816
Dezembro - 2022,RJ,RIO DE JANEIRO,192,64141,0,501
Dezembro - 2022,RJ,RIO DE JANEIRO,204,112136,0,876
Dezembro - 2022,RJ,RIO DE JANEIRO,211,102215,0,799
Dezembro - 2022,RJ,RIO DE JANEIRO,214,136384,1,65
Dezembro - 2022,RJ,RIO DE JANEIRO,216,84411,0,659
Dezembro - 2022,RJ,RIO DE JANEIRO,218,101798,0,795
Dezembro - 2022,RJ,RIO DE JANEIRO,219,106689,0,833
Dezembro - 2022,RJ,RIO DE JANEIRO,229,112199,0,877
Dezembro - 2022,RJ,RIO DE JANEIRO,230,62494,0,488
Dezembro - 2022,RJ,RIO DE JANEIRO,233,109167,0,853
Dezembro - 2022,RJ,RIO DE JANEIRO,234,85963,0,672
Dezembro - 2022,RJ,RIO DE JANEIRO,238,113280,0,885
Dezembro - 2022,RJ,RIO DE JANEIRO,241,70554,0,551
Dezembro - 2022,RJ,RIO DE JANEIRO,242,72008,0,563
Dezembro - 2022,RJ,RIO DE JANEIRO,243,79837,0,624
Dezembro - 2022,RJ,RIO DE JANEIRO,245,106570,0,833
Dezembro - 2022,RJ,RIO DE JANEIRO,246,106069,0,829
Dezembro - 2022,RJ,SANTA MARIA MADALENA,60,8991,0,70
Dezembro - 2022,RJ,SANTO ANT�NIO DE P�DUA,34,33182,0,259
Dezembro - 2022,RJ,S�O FID�LIS,35,31822,0,249
Dezembro - 2022,RJ,S�O FRANCISCO DE ITABAPOANA,130,38714,0,302
Dezembro - 2022,RJ,S�O GON�ALO,36,95562,0,747
Dezembro - 2022,RJ,S�O GON�ALO,68,84739,0,662
Dezembro - 2022,RJ,S�O GON�ALO,69,82941,0,648
Dezembro - 2022,RJ,S�O GON�ALO,87,89898,0,702
Dezembro - 2022,RJ,S�O GON�ALO,132,91118,0,712
Dezembro - 2022,RJ,S�O GON�ALO,133,104572,0,817
Dezembro - 2022,RJ,S�O GON�ALO,135,120373,0,940
Dezembro - 2022,RJ,S�O JO�O DA BARRA,37,38407,0,300
Dezembro - 2022,RJ,S�O JO�O DE MERITI,88,73190,0,572
Dezembro - 2022,RJ,S�O JO�O DE MERITI,89,83391,0,651
Dezembro - 2022,RJ,S�O JO�O DE MERITI,186,104332,0,815
Dezembro - 2022,RJ,S�O JO�O DE MERITI,187,115195,0,900
Dezembro - 2022,RJ,S�O JOS� DE UB�,107,7349,0,57
Dezembro - 2022,RJ,S�O JOS� DO VALE DO RIO PRETO,196,16935,0,132
Dezembro - 2022,RJ,S�O PEDRO DA ALDEIA,59,69512,0,543
Dezembro - 2022,RJ,S�O SEBASTI�O DO ALTO,60,7735,0,60
Dezembro - 2022,RJ,SAPUCAIA,61,16575,0,129
Dezembro - 2022,RJ,SAQUAREMA,62,74440,0,582
Dezembro - 2022,RJ,SEROP�DICA,225,57938,0,453
Dezembro - 2022,RJ,SILVA JARDIM,63,19591,0,153
Dezembro - 2022,RJ,SUMIDOURO,64,14392,0,112
Dezembro - 2022,RJ,TANGU�,151,25389,0,198
Dezembro - 2022,RJ,TERES�POLIS,38,58784,0,459
Dezembro - 2022,RJ,TERES�POLIS,195,70155,0,548
Dezembro - 2022,RJ,TRAJANO DE MORAES,51,8728,0,68
Dezembro - 2022,RJ,TR�S RIOS,40,20038,0,157
Dezembro - 2022,RJ,TR�S RIOS,174,42914,0,335
Dezembro - 2022,RJ,VALEN�A,111,57682,0,451
Dezembro - 2022,RJ,VARRE-SAI,43,8637,0,67
Dezembro - 2022,RJ,VASSOURAS,41,30705,0,240
Dezembro - 2022,RJ,VOLTA REDONDA,90,98781,0,772
Dezembro - 2022,RJ,VOLTA REDONDA,131,126486,0,988
